"aircraft","picture","source","author_name","author_profile","license"
"020045","aircraft_pictures/020045.jpg","https://www.flickr.com/photos/c38astra/8482178534/","Robert Underwood","https://www.flickr.com/photos/c38astra/","CC-BY-SA-2.0"
"020053","aircraft_pictures/020053.jpg","https://www.flickr.com/photos/130961247@N06/49589178581/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020057","aircraft_pictures/020057.jpg","https://www.flickr.com/photos/130961247@N06/19697801781/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02005a","aircraft_pictures/02005a.jpg","https://www.flickr.com/photos/airlines470/6946868866/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02005b","aircraft_pictures/02005b.jpg","https://www.flickr.com/photos/airlines470/7093576639/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"020066","aircraft_pictures/020066.jpg","https://www.flickr.com/photos/130961247@N06/28363636292/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02006e","aircraft_pictures/02006e.jpg","https://www.flickr.com/photos/130961247@N06/49587137638/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02006f","aircraft_pictures/02006f.jpg","https://www.flickr.com/photos/130961247@N06/28185497080/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020072","aircraft_pictures/020072.jpg","https://www.flickr.com/photos/130961247@N06/30315140227/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020073","aircraft_pictures/020073.jpg","https://www.flickr.com/photos/airlines470/7093763229/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"02007a","aircraft_pictures/02007a.jpg","https://www.flickr.com/photos/130961247@N06/24484015050/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02008b","aircraft_pictures/02008b.jpg","https://www.flickr.com/photos/130961247@N06/49587880337/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0200ae","aircraft_pictures/0200ae.jpg","https://www.flickr.com/photos/130961247@N06/28357897289/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0200ca","aircraft_pictures/0200ca.jpg","https://www.flickr.com/photos/130961247@N06/46913296194/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0200e8","aircraft_pictures/0200e8.jpg","https://www.flickr.com/photos/airlines470/6942290260/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"0200ea","aircraft_pictures/0200ea.jpg","https://www.flickr.com/photos/airlines470/6943879474/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"0200eb","aircraft_pictures/0200eb.jpg","https://www.flickr.com/photos/dylan33/43486767114/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
"0200ec","aircraft_pictures/0200ec.jpg","https://www.flickr.com/photos/130961247@N06/40321205520/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"0200ed","aircraft_pictures/0200ed.jpg","https://www.flickr.com/photos/airlines470/6813515856/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"0200ef","aircraft_pictures/0200ef.jpg","https://www.flickr.com/photos/airlines470/6942290260/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"0200f9","aircraft_pictures/0200f9.jpg","https://www.flickr.com/photos/dylan33/48666123871/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
"0200fb","aircraft_pictures/0200fb.jpg","https://www.flickr.com/photos/130961247@N06/26582098345/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020104","aircraft_pictures/020104.jpg","https://www.flickr.com/photos/130961247@N06/49565336511/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020105","aircraft_pictures/020105.jpg","https://www.flickr.com/photos/130961247@N06/27810136947/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020108","aircraft_pictures/020108.jpg","https://www.flickr.com/photos/130961247@N06/49585240023/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"02010d","aircraft_pictures/02010d.jpg","https://www.flickr.com/photos/awilson154/15270274127/","Alec Wilson","https://www.flickr.com/photos/awilson154/","CC-BY-SA-2.0"
"020113","aircraft_pictures/020113.jpg","https://www.flickr.com/photos/130961247@N06/26308838710/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020119","aircraft_pictures/020119.jpg","https://www.flickr.com/photos/130961247@N06/31397941328/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020123","aircraft_pictures/020123.jpg","https://www.flickr.com/photos/130961247@N06/49570885067/","Anna Zvereva","https://www.flickr.com/photos/130961247@N06/","CC-BY-SA-2.0"
"020124","aircraft_pictures/020124.jpg","https://www.flickr.com/photos/airlines470/49829202662/","ERIC SALARD","https://www.flickr.com/photos/airlines470/","CC-BY-SA-2.0"
"020127","aircraft_pictures/020127.jpg","https://www.flickr.com/photos/rosedale7175/25948975698/","Rosedale7175","https://www.flickr.com/photos/rosedale7175/","CC-BY-SA-2.0"
"02012c","aircraft_pictures/02012c.jpg","https://www.flickr.com/photos/dylan33/47438481562/","Dylan Agbagni","https://www.flickr.com/photos/dylan33/","CC0-1.0"
