"icao_code","iata_code","name","callsign","country","active","iata_member","iosa_certified","international","fleet_age","aircraft","aircraft_models","aircraft_over_25_years","routes","connections","destinations","annual_domestic_flights","annual_international_flights","accidents_last_5_years","fatal_accidents_last_5_years"
"NAF",NULL,"Royal Netherlands Air Force","NETHERLANDS AIR FORCE","NL","1","0","0","0","29.24","99","6","89",NULL,NULL,NULL,NULL,NULL,"0","0"
"NAX","DY","Norwegian","NOR SHUTTLE","NO","1","0","0","1","6.62","8","1","0","625","314","124","43652","86264","1","0"
"NCA","KZ","Nippon Cargo Airlines","NIPPON CARGO","JP","1","1","1","1","7.62","8","1","0","35","26","17","311","7810","0","0"
"NCB",NULL,"North Cariboo Air","NORTH CARIBOU","CA","1","0","0","0","35.54","13","5","10",NULL,NULL,NULL,NULL,NULL,"1","0"
"NCG",NULL,"Royal Netherlands Coast Guard","NETHERLANDS COASTGUARD","NL","1","0","0","0","30.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NCJ",NULL,"North Central Aviation Inc","NORTH CENTRAL","US","1","0","0","0","19.17","6","4","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NCL",NULL,"Air Guicango","ANCARGO AIR","AO","1","0","0","0","27.00","1","1","1",NULL,NULL,NULL,NULL,NULL,"0","0"
"NCR","N8","National Airlines","NATIONAL CARGO","US","1","0","1","0","29.00","3","2","3",NULL,NULL,NULL,NULL,NULL,"0","0"
"NCS",NULL,"Simpson Air",NULL,"CA","1","0","0","0","57.00","2","2","2",NULL,NULL,NULL,NULL,NULL,"0","0"
"NCT","XW","NokScoot","BIG BIRD","TH","1","0","1","0","19.00","1","1","0",NULL,NULL,NULL,NULL,NULL,"0","0"
"NDF",NULL,"Namibian Air Force","NAMIBIAN AIRFORCE","NA","1","0","0","0","29.84","31","9","7",NULL,NULL,NULL,NULL,NULL,"0","0"
"NDL",NULL,"Chrono Aviation","NEEDLE","CA","1","0","0","0","22.00","15","6","4",NULL,NULL,NULL,NULL,NULL,"0","0"
