slug,identifier,name,type,usage,frequency,dme_channel,dme_rx_frequency,dme_tx_frequency,dme_bias,vor_slaved_variation,localizer_heading,glide_slope_angle,reception_range,latitude,longitude,elevation,region,airport,airport_runway,country
abw-ils-ii-ut-utaa,ABW,ILS 12L,ILS-II,TERMINAL,108500,,,,,,119.380,,18,37.980777778,58.386722222,692,UT,UTAA,12L,TM
aby-ndb-lf,ABY,ALBERT BRAY NDB,NDB,ENROUTE,321,,,,,,,,50,49.976250000,2.809416667,,LF,,,FR
ac-dme-ils-lf-lfkj,AC,NAPOLEON BONAPARTE DME-ILS,DME-ILS,TERMINAL,110300,40X,1064000,1001000,0,,,,25,41.913722222,8.798083333,56,LF,LFKJ,,FR
ac-gs-lf-lfkj,AC,GS 02,GS,TERMINAL,110300,,,,,,024.885,3.00,18,41.913722222,8.798083333,11,LF,LFKJ,02,FR
ac-ils-i-lf-lfkj,AC,ILS 02,ILS-I,TERMINAL,110300,,,,,,24.885,,18,41.932694444,8.807916667,11,LF,LFKJ,02,FR
ac-ndb-cy,AC,PLEASANT LAKE (YARMOUTH) NDB,NDB,ENROUTE,230,,,,,,,,25,43.860947222,-66.043705556,,CY,,,CA
ac-ndb-vv,AC,ANLOC NDB,NDB,ENROUTE,320,,,,,,,,50,10.939166667,107.188333333,,VV,,,VN
aca-vor-dme-mm,ACA,ACAPULCO VOR/DME,VOR-DME,ENROUTE,115900,106X,1130000,1193000,0,5.000,,,150,16.758472222,-99.753963889,40,MM,,,MX
acc-vor-dme-dg,ACC,ACCRA VOR/DME,VOR-DME,ENROUTE,113100,78X,1102000,1165000,0,-4.000,,,130,5.634069444,-0.155363889,258,DG,,,GH
ace-ndb-pa,ACE,KACHEMAK (HOMER) NDB,NDB,ENROUTE,277,,,,,,,,50,59.641333333,-151.500275000,,PA,,,US
ach-vortac-k2,ACH,ANTON CHICO VORTAC,VORTAC,ENROUTE,117800,125X,1149000,1212000,0,12.000,,,130,35.111705556,-105.039927778,5450,K2,,,US
acj-ndb-k7,ACJ,SOUTHER (AMERICUS) NDB,NDB,ENROUTE,242,,,,,,,,25,32.112108333,-84.186852778,,K7,,,US
ack-vor-dme-k6,ACK,NANTUCKET VOR/DME,VOR-DME,ENROUTE,116200,109X,1133000,1196000,0,-15.000,,,150,41.281886111,-70.026711111,99,K6,,,US
aco-vor-dme-k5,ACO,AKRON VOR/DME,VOR-DME,ENROUTE,114400,91X,1115000,1178000,0,-4.000,,,40,41.107902778,-81.201525000,1198,K5,,,US
act-vortac-k4,ACT,WACO VORTAC,VORTAC,ENROUTE,115300,100X,1124000,1187000,0,9.000,,,130,31.662230556,-97.269013889,507,K4,,,US
acv-vor-dme-k2,ACV,ARCATA VOR/DME,VOR-DME,ENROUTE,115050,97Y,1121000,1058000,0,17.000,,,130,40.981441667,-124.108316667,195,K2,,,US
acy-vortac-k6,ACY,ATLANTIC CITY VORTAC,VORTAC,ENROUTE,117150,118Y,1142000,1079000,0,-10.000,,,40,39.455875000,-74.576313889,67,K6,,,US
