airport,length,width,le_name,le_latitude,le_longitude,le_elevation,le_heading,le_displaced_threshold,he_name,he_latitude,he_longitude,he_elevation,he_heading,he_displaced_threshold,surface,lighted,active
SKGO,7218,131,01,4.74812,-75.9566,2977,4.8,100,19,4.76812,-75.9549,2979,184.8,100,ASP,1,1
SKGP,4256,66,01,2.56456,-77.9004,164,18,,19,2.57571,-77.8968,164,198,,ASP,1,1
SKGY,5643,66,11,4.81408,-74.0725,8478,103,,29,4.81058,-74.0574,8478,283,,ASP,0,1
SKIB,5905,98,14,4.42695,-75.1394,3044,131,,32,4.41627,-75.1272,2969,311,,ASP,1,1
SKIO,4167,66,06,9.26552,-74.6571,,55.4,,24,9.27204,-74.6476,,235.4,,ASP,0,1
SKIP,5774,92,06,0.85808,-77.6787,9723,61.2,,24,0.86577,-77.6648,9765,241.2,,ASP,1,1
SKLC,7153,98,15,7.82046,-76.7214,39,149.5,,33,7.80346,-76.7114,46,329.5,,ASP,0,1
SKLG,3937,82,12,-0.17978,-74.7756,,117.4,,30,-0.18478,-74.766,,297.4,,ASP,0,1
SKLM,4876,148,09,11.2325,-72.4969,,90,,27,11.2325,-72.4833,,270,1005,ASP,1,1
SKLT,6168,131,03,-4.2011,-69.9457,314,20.8,,21,-4.18523,-69.9397,313,200.8,,ASP,1,1
SKMA,6070,80,06,4.72348,-74.2825,,58.8,,24,4.73212,-74.2683,,238.8,,ASP,0,1
SKMD,8202,125,02,6.20875,-75.5926,4915,16,1312,20,6.23117,-75.5884,4921,196,984,ASP,1,1
SKME,1320,65,04,4.21588,-74.637,,40.4,,22,4.21866,-74.6347,,220.4,,CON,0,1
SKME,3785,92,05,4.2125,-74.6385,,41,,23,4.22038,-74.6316,,221,,ASP,0,1
SKMG,4921,70,11,9.2861,-74.8528,,101.6,,29,9.28337,-74.8394,,281.6,,ASP,0,1
SKMJ,5300,98,07,11.3876,-72.2462,,72,,25,11.3922,-72.2321,,252,,ASP,0,1
SKML,3560,82,18,7.97662,-75.433,160,174.2,150,36,7.96686,-75.432,143,354.2,175,ASP,0,1
SKMP,4068,48,02,9.25334,-74.4395,,15.6,,20,9.2641,-74.4364,,195.6,,ASP,0,1
SKMR,6285,115,14,8.83016,-75.8317,20,137.8,,32,8.81733,-75.82,18,317.8,,ASP,1,1
SKMU,5889,66,02,1.2457,-70.2355,526,11,,20,1.26163,-70.2323,524,191,,ASP,1,1
SKMZ,4835,65,10,5.03013,-75.4713,,95,,28,5.02906,-75.4581,,275,265,ASP,1,1
SKNV,5880,131,02,2.9423,-75.296,1447,14,395,20,2.95801,-75.292,1450,194,,ASP,1,1
SKOC,3937,98,01,8.30964,-73.3589,,6.4,,19,8.32049,-73.3577,,186.4,,ASP,0,1
SKPA,5382,98,04,5.75861,-73.1099,,37,,22,5.77047,-73.101,,217,,ASP,0,1
SKPB,5540,148,09,12.2205,-71.9925,90,82.8,345,27,12.2224,-71.9771,90,262.8,,ASP,1,1
SKPC,5907,69,07,6.18069,-67.5002,180,60,,25,6.18873,-67.4861,180,240,,ASP,1,1
SKPD,5910,85,17,3.86151,-67.9078,460,168.7,,35,3.84554,-67.9046,460,348.7,,ASP,0,1
