icao_code,iata_code,manufacturer,name,description,wtc,service_ceiling,absolute_ceiling,approach_speed,cruise_speed,maximum_speed,fuselage_height,fuselage_width,height,length,wing_area,wingspan,main_rotor_area,main_rotor_diameter,fuel_capacity,operating_range,mlw,mrw,mtow,mzfw,type_certificate
AN72,AN7,Antonov,An-72,L2J,M,,,97,,,,,,,,31.70,,,,,,,,,
AN8,,Antonov,An-8,L2T,M,,,,,,,,,,,,,,,,,,,,
AP20,,Aeroprakt,A-20 Vista,L1P,L,,,,,,,,,,,,,,,,,,,,
AP22,,Aeroprakt,A-22 Foxbat,L1P,L,,,,,,,,,,,,,,,,,,,,
AP24,,Aeroprakt,A-24 Viking,A1P,L,,,,,,,,,,,,,,,,,,,,
AP26,,Aeroprakt,A-26 Vulcan,L2P,L,,,,,,,,,,,,,,,,,,,,
AP28,,Aeroprakt,A-28 Victor,L2P,L,,,,,,,,,,,,,,,,,,,,
AP32,,Aeroprakt,A-32 Vixxen,L1P,L,,,,,,,,,,,,,,,,,,,,
AP36,,Aeroprakt,A-36 Super Vulcan,L2P,L,,,,,,,,,,,,,,,,,,,,
AS32,,Airbus Helicopters,H215,H2T,M,,20000,,136,167,4.94,3.79,,15.53,,,191.03,15.60,2043,346,,,8600,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar002
AS50,,Airbus Helicopters,H125,H1T,M,,23000,,140,155,3.14,1.87,,10.93,,,89.75,10.69,540,340,,,2250,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar008
AS55,,Airbus Helicopters,AS355 Écureuil 2,H2T,L,,16000,,121,150,3.14,1.87,,10.93,,,89.75,10.69,730,380,,,2540,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar146
AS65,,Airbus Helicopters,AS365 Dauphin,H2T,L,,15000,,145,150,3.27,3.17,,10.98,,,111.98,11.94,640,498,,,4300,,https://www.easa.europa.eu/document-library/type-certificates/rotorcraft-cs-29-cs-27-cs-vlr/easar105
AT43,AT4,ATR,42-300,L2T,M,,,104,,,,,,,,24.38,,,,,16000,16170,16150,14800,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT44,,ATR,42-400,L2T,M,,,104,,,,,,,,24.38,,,,,17600,18070,17900,16300,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT45,AT5,ATR,42-500,L2T,M,,,104,,,,,,,,24.38,,,,,18300,18770,18600,16700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT46,ATR,ATR,42-600,L2T,M,,,,,,,,,,,,,,,,18300,18770,18600,16700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT72,AT7,ATR,72-200,L2T,M,,,114,,,,,,,,26.82,,,,,21350,21530,21500,19700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT73,AT7,ATR,72-210,L2T,M,,,,,,,,,,,,,,,,21350,21530,21500,19700,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT75,,ATR,72-500,L2T,M,,,,,,,,,,,,,,,,21850,22180,22000,20000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
AT76,,ATR,72-600,L2T,M,,,,,,,,,,,,,,,,21850,22180,22000,20000,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaa084
B06,,Bell,206,H1T,L,,,,,,,,,,,,,,,,,,,,
B06T,,Bell,206LT TwinRanger,H2T,L,,,,,,,,,,,,,,,,,,,,
B105,,MBB,Bo 105,H2T,L,,,,,,,,,,,,,,,,,,,,
B17,,Boeing,B-17 Flying Fortress,L4P,M,,,,,,,,,,,,,,,,,,,,
B2,,Northrop Grumman,B-2 Spirit,L4J,H,,,140,,,,,,,,52.43,,,,,,,,,
B212,BH2,Bell,212,H2T,L,,,,,,,,,,,,,,,,,,,,
B214,,Bell,214,H1T,M,,,,,,,,,,,,,,,,,,,,
B222,,Bell,222,H2T,L,,,,,,,,,,,,,,,,,,,,
B23,,Douglas,B-23 Dragon,L2P,M,31600,,,180,245,,,5.63,17.80,92.30,28.04,,,,1200,,,14696,,
B230,,Bell,230,H2T,L,,,,,,,,,,,,,,,,,,,,
B26,,Douglas,A-26 Invader,L2P,M,28500,,,231,312,,,5.64,15.00,50.00,21.00,,,3500,1400,,,15876,,
B29,,Boeing,B-29 Superfortress,L4P,M,,,,,,,,,,,,,,,,,,,,
B37M,7M7,Boeing,737 MAX 7,L2J,M,,41000,,453,,4.01,3.76,12.29,35.56,127.00,35.92,,,25817,3850,,,,,
B38M,7M8,Boeing,737 MAX 8,L2J,M,,41000,,453,,4.01,3.76,12.29,39.52,127.00,35.92,,,25817,3550,69308,82417,82190,65952,https://www.easa.europa.eu/document-library/type-certificates/aircraft-cs-25-cs-22-cs-23-cs-vla-cs-lsa/easaima120
