aircraft_type,picture,source,author_name,author_profile,license
Y141,aircraft_types_pictures/Y141.webp,https://www.flickr.com/photos/ajw1970/39406263242/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
Y18T,aircraft_types_pictures/Y18T.webp,https://www.flickr.com/photos/sjbyles/5447777190/,Steven Byles,https://www.flickr.com/photos/sjbyles/,CC-BY-SA-2.0
YAK3,aircraft_types_pictures/YAK3.webp,https://www.flickr.com/photos/airlines470/44870042721/,ERIC  SALARD,https://www.flickr.com/photos/airlines470/,CC-BY-SA-2.0
YAK9,aircraft_types_pictures/YAK9.webp,https://www.flickr.com/photos/63366024@N00/2826096547/,Cory W. Watts,https://www.flickr.com/photos/63366024@N00/,CC-BY-SA-2.0
YK11,aircraft_types_pictures/YK11.webp,https://www.flickr.com/photos/martin55/9324733624/,martin_vmorris,https://www.flickr.com/photos/martin55/,CC-BY-SA-2.0
YK12,aircraft_types_pictures/YK12.webp,https://www.flickr.com/photos/ajw1970/10196290775/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK18,aircraft_types_pictures/YK18.webp,https://www.flickr.com/photos/ajw1970/15922252456/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK28,aircraft_types_pictures/YK28.webp,https://www.flickr.com/photos/ajw1970/39407201842/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK30,aircraft_types_pictures/YK30.webp,https://www.flickr.com/photos/ajw1970/10192135164/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK38,aircraft_types_pictures/YK38.webp,https://www.flickr.com/photos/ajw1970/37531983446/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK40,aircraft_types_pictures/YK40.webp,https://www.flickr.com/photos/ajw1970/21890550798/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
YK42,aircraft_types_pictures/YK42.webp,https://www.flickr.com/photos/130961247@N06/37009327253/,Anna Zvereva,https://www.flickr.com/photos/130961247@N06/,CC-BY-SA-2.0
YK50,aircraft_types_pictures/YK50.webp,https://www.flickr.com/photos/95512093@N05/34967489814/,James,https://www.flickr.com/photos/95512093@N05/,CC-BY-SA-2.0
YK52,aircraft_types_pictures/YK52.webp,https://www.flickr.com/photos/volvob12b/13977949551/,Bernard Spragg. NZ,https://www.flickr.com/photos/volvob12b/,CC0-1.0
YK55,aircraft_types_pictures/YK55.webp,https://www.flickr.com/photos/57581783@N03/10739019153/,Julian,https://www.flickr.com/photos/57581783@N03/,CC-BY-2.0
Z22,aircraft_types_pictures/Z22.webp,https://www.flickr.com/photos/ajw1970/8257667488/,Alan Wilson,https://www.flickr.com/photos/ajw1970/,CC-BY-SA-2.0
Z26,aircraft_types_pictures/Z26.webp,https://www.flickr.com/photos/13722921@N06/3570113753/,Jerry Gunner,https://www.flickr.com/photos/13722921@N06/,CC-BY-2.0
Z37P,aircraft_types_pictures/Z37P.webp,https://www.flickr.com/photos/kitmasterbloke/15206147632/,kitmasterbloke,https://www.flickr.com/photos/kitmasterbloke/,CC-BY-2.0
Z42,aircraft_types_pictures/Z42.webp,https://www.flickr.com/photos/95512093@N05/25285954225/,James,https://www.flickr.com/photos/95512093@N05/,CC-BY-SA-2.0
Z43,aircraft_types_pictures/Z43.webp,https://www.flickr.com/photos/13722921@N06/3570104101/,Jerry Gunner,https://www.flickr.com/photos/13722921@N06/,CC-BY-2.0
Z50,aircraft_types_pictures/Z50.webp,https://www.flickr.com/photos/11763830@N02/14626680552/,Claudiu Nelega,https://www.flickr.com/photos/11763830@N02/,CC-BY-SA-2.0
