airport,description,frequency,type
CYMA,WHITEHORSE RDO,126700,RCO
CYME,ATF/UNICOM,122800,UNIC
CYME,MONTREAL CNTR,134650,CNTR
CYMG,ATF/UNICOM,122800,UNIC
CYMG,LONDON RDO,126700,A/D
CYMJ,ARR,119000,ARR
CYMJ,ARR,28940,ARR
CYMJ,ARR,38130,ARR
CYMJ,ATIS,25780,ATIS
CYMJ,CLNC DEL,135300,CLD
CYMJ,DEP,119000,DEP
CYMJ,GND,121800,GND
CYMJ,PMSV,34460,PMSV
CYMJ,TWR,126200,TWR
CYMJ,WING OPS,23010,OPS
CYML,ATF/UNICOM,123000,UNIC
CYML,MONTREAL CNTR,125100,CNTR
CYMM,ATIS,128500,ATIS
CYMM,EDMONTON CNTR,135700,CNTR
CYMM,EDMONTON RDO,123550,RCO
CYMM,FORT MCMURRAY GROUND,121900,GND
CYMM,FORT MCMURRAY TOWER,118100,TWR
CYMM,PEACE RIVER RADIO,118100,MF
CYMO,ATF,122500,ATF
CYMO,AWOS,124800,AWOS
CYMO,MF,122500,A/G
CYMO,TIMMINS RDO,122500,RCO
CYMO,TORONTO CNTR,133725,CNTR
CYMT,MONTREAL CNTR,127300,CNTR
CYMT,QUEBEC RDO,122000,RCO
CYMW,ATF/UNICOM,122800,UNIC
CYMW,MONTREAL CNTR,126570,CNTR
CYMX,APRON ADVSY,122400,RMP
CYMX,ATIS (ENGLISH) 450-476-3031,125700,ATIS
CYMX,ATIS (FRENCH) 450-476-3095,126100,ATIS
CYMX,MIRABEL RADIO,119100,MF
CYMX,MONTREAL ARRIVAL,124650,ARR
CYMX,MONTREAL ARRIVAL,132850,ARR
CYMX,MONTREAL ARRIVAL,268300,ARR
CYMX,MONTREAL DEPARTURE,132850,DEP
CYMX,VFR ADVSY,134150,RDR
CYNA,AWOS,126250,AWOS
CYNA,MF QUEBEC RDO,122200,RDO
CYNA,QUEBEC RDO,122200,RCO
CYND,"GATINEAU RADIO, 0630-2115 LOCAL",122300,MF
CYND,GATINEAU TRAFFIC,122300,ATF
CYND,OTTAWA ARRIVALS,128175,ARR
CYND,OTTAWA DEPARTURES,128175,DEP
CYND,OTTAWA TERMINAL,127700,TML
CYND,QUEBEC RADIO,123375,RCO
CYNH,ATF,123200,ATF
CYNJ,LANGLEY GROUND,121900,GND
CYNJ,LANGLEY TOWER,119000,TWR
CYNM,ATF/UNICOM,122800,UNIC
CYNM,AWOS,127450,AWOS
CYNM,QUEBEC RDO,123550,RCO
CYOA,ARCTIC RADIO (FISE),123275,RCO
CYOA,EDMONTON CENTER,135175,PAL
CYOC,ARPT RDO,122100,RDO
CYOC,MANDATORY FREQ,122100,ATF
CYOD,APP,124500,APP
CYOD,ARR,124500,ARR
CYOD,ATIS,26000,ATIS
CYOD,CLNC DEL,120600,CLD
CYOD,DEP,124500,DEP
CYOD,GND,121900,GND
CYOD,PMSV,34460,PMSV
CYOD,TRAN SVCG,30870,A/G
CYOD,TWR,126200,TWR
CYOD,WING OPS,34020,OPS
CYOJ,EDMONTON CNTR,123700,CNTR
CYOJ,EDMONTON RDO,126700,RCO
CYOJ,MF HIGH LEVEL RDO,123250,A/G
CYOJ,RDO,123250,FSS
CYOO,ATIS,125675,ATIS
CYOO,GND,118400,GND
CYOO,MF,120100,A/G
CYOO,TORONTO TRML,133400,APP
CYOO,TWR,120100,TWR
CYOP,ATF/UNICOM,122800,UNIC
CYOS,ATF/UNICOM,123000,UNIC
CYOS,TORONTO CNTR,132575,CNTR
CYOW,ENGLISH ATIS,121150,ATIS
CYOW,FRENCH ATIS,132950,ATIS
CYOW,OTTAWA ARRIVALS,135150,ARR
CYOW,OTTAWA CLEARANCE,119400,CLNC DEL
CYOW,OTTAWA DEPARTURES,128175,DEP
CYOW,OTTAWA GROUND,121900,GND
CYOW,OTTAWA TERMINAL,127700,TML
CYOW,OTTAWA TOWER,118800,TWR
CYOW,QUEBEC RADIO,123150,RCO
CYPA,ATHABASKA AWYS,129450,INFO
CYPA,"PRINCE ALBERT RADIO, 5NM BELOW 4400ASL",122300,MF
CYPA,PRINCE ALBERT RADIO,122300,RADIO
CYPA,WINNIPAG CONTROL,133900,ARR
CYPA,WINNIPEG CONTROL,133900,DEP
CYPA,WINNIPEG RADIO,123475,RCO
CYPC,ARPT RDO,122100,RDO
CYPC,MANDATORY FREQ,122100,ATF
CYPD,ATF/UNICOM,122800,UNIC
CYPD,HALIFAX RDO,126700,RDO
CYPE,EDMONTON CNTR,133275,CNTR
CYPE,EDMONTON RDO,123275,RCO
CYPE,MF,122300,A/G
CYPE,RDO,122300,FSS
CYPG,ATF,126200,ATF
CYPG,ATIS,120850,ATIS
CYPG,GND,121700,GND
CYPG,TWR,126200,TWR
CYPK,ATF,126300,ATF
CYPK,ATIS,125000,ATIS
CYPK,GND,123800,GND
CYPK,TWR,126300,TWR
CYPL,MF THUNDER BAY RDO,122200,RDO
CYPL,WINNIPEG RDO,122200,RCO
CYPN,ATF/UNICOM,123500,UNIC
CYPQ,ATF/UNICOM,123000,UNIC
CYPQ,AWOS,126925,AWOS
CYPQ,TORONTO CNTR,134250,CNTR
CYPR,PACIFIC RDO,126700,RDO
CYPR,RUPERT RDO,122500,A/G
CYPR,TERRACE RDO,122500,RCO
CYPR,VANCOUVER CNTR,128000,CNTR
CYPS,ATF,123200,ATF
CYPT,ATF/UNICOM,123200,UNIC
CYPT,CLEVELAND CNTR,126350,CNTR
CYPU,PACIFIC RDO,126700,RCO
CYPU,VANCOUVER CNTR,135050,CNTR
CYPU,WILLIAMS LAKE RDO,126700,ATF
CYPW,COMOX TERMINAL,123700,A/D
CYPW,MF,123000,A/G
CYPW,PACIFIC RDO,126700,RDO
CYPX,AFLD RDO,122100,A/G
CYPX,CTAF MF,122100,ATF
CYPX,QUEBEC RDO,126700,RCO
CYPY,ATF,123200,ATF
CYPY,EDMONTON RDO,123450,RCO
CYPZ,"BURNS LAKE TRAFFIC, 5NM BELOW 5400ASL",122700,ATF
CYPZ,LIMITED WEATHER INFORMATION SYSTEM,122950,LWIS
CYPZ,PACIFIC RADIO (FISE),123375,RCO
CYPZ,VANCOUVER CONTROL,123875,PAL
CYPZ,VANCOUVER CONTROL,132525,PAL
CYQA,LONDON RDO,123475,RCO
CYQA,TIMMINS RADIO,122300,MF
CYQB,ATIS ENGLISH,134600,ATIS
CYQB,ATIS FRENCH,128300,ATIS
CYQB,GND,121900,GND
CYQB,MONTREAL CNTR,135025,CNTR
CYQB,RDO,123550,RDO
CYQB,TRML CON,124000,A/D
CYQB,TWR,118650,TWR
CYQD,MF WINNIPEG RDO,122200,A/G
CYQD,WINNIPEG CNTR,135625,CNTR
CYQD,WINNIPEG RDO,122200,RCO
CYQF,ATIS,124000,ATIS
CYQF,EDMONTON CNTR,132850,CNTR
CYQF,EDMONTON RDO,122500,RCO
CYQF,MF RED DEER RDO,118500,A/G
CYQF,RDO,118500,FSS
CYQG,ATIS,134500,ATIS
CYQG,DETROIT  APP/DEP,126850,A/D
CYQG,GND,121700,GND
CYQG,LONDON RDO,126700,RDO
CYQG,MF,124700,A/G
CYQG,TWR,124700,TWR
CYQG,VFR ADVSY,134300,AAS
CYQH,ARPT RDO,122100,RDO
CYQH,MANDATORY FREQ,122100,ATF
CYQH,WHITEHORSE RDO,126700,RCO
CYQI,MF,123000,A/G
CYQI,MONCTON CNTR,123900,CNTR
CYQK,MF,122200,RDO
CYQK,RDO,122200,FSS
CYQK,VHF/DF,122200,VDF
CYQK,WINNIPEG CNTR,124000,CNTR
CYQK,WINNIPEG RDO,126700,RCO
CYQL,ATIS,124400,ATIS
CYQL,EDMONTON CNTR,132750,CNTR
CYQL,EDMONTON RDO,122500,RCO
CYQL,MF,121000,A/G
CYQL,RDO,121000,RDO
CYQM,APN ADVSY,122075,INFO
CYQM,APP/DEP,124400,A/D
CYQM,ATIS,128650,ATIS
CYQM,GND,121800,GND
CYQM,HALIFAX RDO,122500,RCO
CYQM,TWR,120800,TWR
CYQN,ATF/UNICOM,122800,UNIC
CYQQ,ARR,128100,ARR
CYQQ,ATIS,118600,ATIS
CYQQ,DEP,123700,DEP
CYQQ,GND,119750,GND
CYQQ,MIL OPS,135900,OPS
CYQQ,PMSV,34460,PMSV
CYQQ,TRML,134100,APP
CYQQ,TWR,126200,TWR
CYQR,ARR,120100,ARR
CYQR,ATIS,127000,ATIS
CYQR,DEP,120100,DEP
CYQR,EDMONTON RDO,122500,RCO
CYQR,GND,121900,GND
CYQR,MF REGINA RDO,118600,A/G
CYQR,TWR,118600,TWR
CYQR,WINNIPEG,123800,CNTR
CYQS,ATF/UNICOM,122700,UNIC
CYQS,TORONTO CNTR,135300,CNTR
CYQT,APP/DEP,119200,A/D
CYQT,ATIS,128800,ATIS
CYQT,GND,121900,GND
CYQT,MF,118100,A/G
CYQT,TWR,118100,TWR
CYQT,WINNIPEG CNTR,132125,CNTR
CYQT,WINNIPEG RDO,122500,RCO
CYQU,ATIS,128600,ATIS
CYQU,EDMONTON CNTR,134500,CNTR
CYQU,EDMONTON RDO,122500,RCO
CYQU,MF GRAND PRAIRIE RDO,118100,A/G
CYQU,RDO,118100,FSS
CYQV,EDMONTON RDO,122200,RCO
CYQV,MF EDMONTON RDO,122200,A/G
CYQW,EDMONTON RDO,123375,RCO
CYQW,MF,122100,A/G
CYQX,APP/DEP,128500,A/D
CYQX,ATIS,124800,ATIS
CYQX,GND,121900,GND
CYQX,HALIFAX RDO,126700,RCO
CYQX,OUTCAST OPS,128850,OPS
CYQX,TWR,118100,TWR
CYQY,CHARLOTTETOWN RDO,122000,RCO
CYQY,MONCTON CNTR,118600,CNTR
CYQY,RDO,122000,FSS
CYQZ,AWOS,124400,AWOS
CYQZ,WILLIAMS LAKE RDO,122200,A/G
CYQZ,WILLIAMS LAKE RDO,122200,RCO
CYRB,ARCTIC RDO,126700,RCO
CYRB,ARPT RDO,122100,RDO
CYRC,ATF,118400,ATF
CYRC,ATIS,134800,ATIS
CYRC,BAGOTVILLE TRML,127200,A/D
CYRC,GND,121900,GND
CYRC,TWR,118400,TWR
CYRC,VFR ADVSY,123400,INFO
CYRI,ATF/UNICOM,122800,UNIC
CYRI,MONTREAL CNTR,125100,CNTR
CYRJ,MF,122200,A/G
CYRJ,QUEBEC RDO,126700,RCO
CYRJ,RDO,122200,RDO
CYRL,ATF,122300,ATF
CYRL,MF,122300,RDO
CYRL,WINNIPEG CNTR,135325,A/D
CYRL,WINNIPEG RDO,122300,RCO
CYRM,ATF,122800,ATF
CYRM,EDMONTON CNTR,134300,CNTR
CYRO,QUEBEC RADIO,123375,RCO
CYRO,ROCKCLIFFE TRAFFIC,123500,ATF
CYRO,ROCKCLIFFE UNICOM,123500,UNICOM
CYRP,CARP TRAFFIC,122800,ATF
CYRP,CARP UNICOM,122800,UNICOM
CYRP,OTTAWA TERMINAL,127700,TML
CYRQ,MF/UNICOM,123000,UNIC
CYRQ,MONTREAL CNTR,128220,CNTR
CYRT,ARTIC RADIO (FISE),123550,RCO
CYRT,EDMONTON CONTROL,134000,PAL
CYRT,"RANKIN RADIO, 5NM BELOW 3100ASL",122200,MF
