"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"3d845e","D-FWJM","Antonov","An-2T","AN2","1G166-38","L1P",NULL,NULL,NULL,NULL
"451cc2","LZ-ABR","Antonov","An-26B","AN26","13905","L2T",NULL,NULL,NULL,NULL
"451da8","LZ-FLL","Antonov","An-26B-100","AN26","12201","L2T",NULL,NULL,NULL,NULL
"451da9","LZ-FLA","Antonov","An-26B","AN26","12010","L2T",NULL,NULL,NULL,NULL
"452009","LZ-ABJ","Antonov","An-26B","AN26","10103","L2T",NULL,NULL,NULL,NULL
"46830b","799","Antonov","An-26","AN26","9007","L2T",NULL,NULL,NULL,NULL
"47001d","HA-ABD","Antonov","An-2P","AN2","1G235-21","L1P",NULL,NULL,NULL,NULL
"470150","HA-ANG","Antonov","An-2P","AN2","1G132-53","L1P",NULL,NULL,NULL,NULL
"4720bc","HA-MKI","Antonov","An-2R","AN2","1G153-36","L1P",NULL,NULL,NULL,NULL
"473c0f","406","Antonov","An-26","AN26","3406","L2T","HUF",NULL,NULL,NULL
"474a03","HA-ANI","Antonov","An-2P","AN2","1G132-55","L1P",NULL,NULL,NULL,NULL
"477ffe","603","Antonov","An-26","AN26","3603","L2T","HUF",NULL,NULL,NULL
"477fff","407","Antonov","An-26","AN26","3407","L2T","HUF",NULL,NULL,NULL
"489407","SP-FAH","Antonov","An-2TP","AN2","1G233-22","L1P",NULL,NULL,NULL,NULL
"48b62a","SP-NSK","Antonov","An-2","AN2","1G167-12","L1P",NULL,NULL,NULL,NULL
"48d129","SP-WKK","Antonov","An-2R","AN2","1G144-28","L1P",NULL,NULL,NULL,NULL
"49a132","OK-HIR","Antonov","An-2R","AN2","1G176-39","L1P",NULL,NULL,NULL,NULL
"49a92a","OK-JIJ","Antonov","An-2R","AN2","1G186-24","L1P","ASX",NULL,NULL,NULL
"49a931","OK-JIQ","Antonov","An-2R","AN2","1G186-28","L1P","ASX",NULL,NULL,NULL
"49ad29","OK-RYA","Antonov","An-2R","AN2","1G190-04","L1P",NULL,NULL,NULL,NULL
"49ad2a","OK-KIJ","Antonov","An-2R","AN2","1G190-05","L1P","ASX",NULL,NULL,NULL
"49ad2b","OK-KIK","Antonov","An-2R","AN2","1G190-06","L1P","ASX",NULL,NULL,NULL
"49ad34","OK-KIT","Antonov","An-2R","AN2","1G190-14","L1P","ASX",NULL,NULL,NULL
"49b564","OK-MKD","Antonov","An-2R","AN2","1G186-31","L1P",NULL,NULL,NULL,NULL
"49c925","OK-RIE","Antonov","An-2","AN2","117447313","L1P",NULL,NULL,NULL,NULL
"49d010","OK-IMP","Antonov","An-2PF","AN2","1G224-13","L1P",NULL,NULL,NULL,NULL
"49d0d4","OK-HFL","Antonov","An-2R","AN2","1G217-21","L1P",NULL,NULL,NULL,NULL
"49d161","OK-VHJ","Antonov","An-2TP","AN2","1G234-02","L1P",NULL,NULL,NULL,NULL
"49d162","OK-UIA","Antonov","An-2TP","AN2","1G237-36","L1P",NULL,NULL,NULL,NULL
"49d164","OK-WHB","Antonov","An-2T","AN2","1G85-55","L1P",NULL,NULL,NULL,NULL
"49d165","OK-GIC","Antonov","An-2T","AN2","1G168-03","L1P",NULL,NULL,NULL,NULL
"49d166","OK-GIB","Antonov","An-2T","AN2","1G168-01","L1P",NULL,NULL,NULL,NULL
"49d168","OK-VHC","Antonov","An-2TP","AN2","1G238-24","L1P",NULL,NULL,NULL,NULL
"49d187","OK-JID","Antonov","An-2R","AN2","1G186-18","L1P",NULL,NULL,NULL,NULL
"49d1a5","OK-RID","Antonov","An-2","AN2","117047308","L1P",NULL,NULL,NULL,NULL
"49d26b","OK-KIQ","Antonov","An-2R","AN2","1G190-11","L1P","ASX",NULL,NULL,NULL
"49d2cd","OK-EIA","Antonov","An-2T","AN2","1G157-03","L1P",NULL,NULL,NULL,NULL
"49d2e3","OK-JIH","Antonov","An-2R","AN2","1G186-22","L1P",NULL,NULL,NULL,NULL
"49d2ed","OK-DAC","Antonov","An-2R","AN2","1G181-37","L1P",NULL,NULL,NULL,NULL
"49d348","OK-JIF","Antonov","An-2R","AN2","1G186-20","L1P",NULL,NULL,NULL,NULL
"49d904","OK-VHD","Antonov","An-2TP","AN2","1G238-25","L1P",NULL,NULL,NULL,NULL
"4a04b2","YR-AER","Antonov","An-2R","AN2","1G154-45","L1P",NULL,NULL,NULL,NULL
"4a05e1","YR-AOA","Antonov","An-2R","AN2","1G197-38","L1P",NULL,NULL,NULL,NULL
"4a05e2","YR-AOB","Antonov","An-2","AN2","1G176-09","L1P",NULL,NULL,NULL,NULL
"4a05e5","YR-AOE","Antonov","An-2R","AN2","1G155-03","L1P",NULL,NULL,NULL,NULL
"4a05fa","YR-AOZ","Antonov","An-2R","AN2","1G155-08","L1P",NULL,NULL,NULL,NULL
"4a0602","YR-APB","Antonov","An-2R","AN2","1G116-43","L1P",NULL,NULL,NULL,NULL
"4a0604","YR-APD","Antonov","An-2R","AN2","1G116-45","L1P",NULL,NULL,NULL,NULL
"4a060f","YR-APO","Antonov","An-2R","AN2","1G124-36","L1P",NULL,NULL,NULL,NULL
"4a0618","YR-APX","Antonov","An-2R","AN2","1G124-44","L1P",NULL,NULL,NULL,NULL
"4a0619","YR-APY","Antonov","An-2R","AN2","1G124-45","L1P",NULL,NULL,NULL,NULL
"4a06b4","YR-AUT","Antonov","An-2R","AN2","1G227-16","L1P",NULL,NULL,NULL,NULL
"4a0995","YR-BLU","Antonov","An-2PK","AN2","1G159-43","L1P",NULL,NULL,NULL,NULL
"4a0c66","YR-CCF","Antonov","An-2P","AN2","1G141-15","L1P",NULL,NULL,NULL,NULL
