"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"ac3ef7","N88874","Douglas","C-47A Skytrain","DC3","12693","L2P",NULL,NULL,NULL,NULL
"ac75f9","N9015Q","Douglas","C-54D Skymaster","DC4","43-17228","L4P",NULL,NULL,"2023-05-31","1943-01-01"
"ac84f9","N9056R","Douglas","DC-6A","DC6","45498","L4P",NULL,NULL,"2021-05-31","1958-01-01"
"aca468","N91314","Douglas","DC-3","DC3","4538","L2P",NULL,NULL,"2022-02-28","1942-01-01"
"aca4d4","N91347","Douglas","B-26C Invader","B26","28642","L2P",NULL,NULL,NULL,NULL
"aca4d6","N91349","Douglas","B-26B Invader","B26","7230","L2P",NULL,NULL,NULL,NULL
"acbaf9","N91935","Douglas","AD-4N Skyraider","A1","124156","L1P",NULL,NULL,"2022-01-31",NULL
"acbb1c","N91945","Douglas","AD4-DW Skyraider","A1","126882","L1P",NULL,NULL,"2023-08-31","1952-01-01"
"acd42b","N92578","Douglas","DC-3C","DC3","9028","L2P",NULL,NULL,"2021-08-31","1943-01-01"
"ace4dc","N93RW","Douglas","A-24B Banshee","SBD","42-54682","L1P",NULL,NULL,"2021-08-31","1942-01-01"
"acedc6","N932H","Basler","BT-67","DC3T","34368","L2T",NULL,NULL,"2023-10-31","1945-01-01"
"ad561a","N959AD","Douglas","AD-4N Skyraider","A1","126959","L1P",NULL,NULL,"2022-10-31","1952-01-01"
"ad6a73","N96358","Douglas","C-54E Skymaster","DC4","27284","L4P",NULL,NULL,"2022-01-31","1944-01-01"
"ad6ebd","N965AD","Douglas","AD-4NA Skyraider","A1","126965","L1P",NULL,NULL,"2022-10-31","1952-01-01"
"ada84b","N9796N","Douglas","R4D-8 Super Skytrain","DC3S","43375","L2P","","","2022-05-31","1952-01-01"
"adb4d1","N982Z","Douglas","DC-3C","DC3","12947","L2P",NULL,NULL,"2021-08-31","1943-01-01"
"adb697","N983DC","Douglas","C-47A Skytrain","DC3","12267","L2P",NULL,NULL,"2023-03-31","1942-01-01"
"add0d8","N99FS","Douglas","C-47B Skytrain","DC3","12425","L2P",NULL,NULL,NULL,NULL
"ade156","N99385","Douglas","A-20B Havoc","A20","23243","L2P",NULL,NULL,NULL,NULL
"ade436","N99420","Douglas","B-26B Invader","B26","27383","L2P",NULL,NULL,NULL,NULL
"ade438","N99422","Douglas","A-26B Invader","B26","18815","L2P",NULL,NULL,NULL,NULL
"ade43b","N99425","Douglas","A-26B Invader","B26","162","L2P",NULL,NULL,NULL,NULL
"ade43c","N99426","Douglas","A-26C Invader","B26","29149","L2P",NULL,NULL,NULL,NULL
"c003aa","C-FBKB","Basler","BT-67","DC3T","25615","L2T","KBA","2013-07-02",NULL,NULL
"c01024","C-FGCX","Basler","BT-67","DC3T","19446","L2T","KBA","2015-03-05",NULL,NULL
"c01266","C-FGZD","Douglas","A-4N Skyhawk","A4","14367","L1J",NULL,"2017-03-20",NULL,NULL
"c01267","C-FGZE","Douglas","A-4N Skyhawk","A4","14495","L1J",NULL,"2017-03-16",NULL,NULL
"c0126a","C-FGZH","Douglas","A-4N Skyhawk","A4","14534","L1J",NULL,"2017-03-21",NULL,NULL
"c0126b","C-FGZI","Douglas","A-4N Skyhawk","A4","14531","L1J",NULL,"2017-03-21",NULL,NULL
"c01271","C-FGZO","Douglas","A-4N Skyhawk","A4","14532","L1J",NULL,"2017-03-16",NULL,NULL
"c01275","C-FGZS","Douglas","A-4N Skyhawk","A4","14337","L1J",NULL,"2017-03-16",NULL,NULL
"c01276","C-FGZT","Douglas","A-4N Skyhawk","A4","14542","L1J",NULL,"2017-03-16",NULL,NULL
"c016cd","C-FIQM","Douglas","C-54G Skymaster","DC4","36088","L4P","BVA","1994-12-08",NULL,NULL
"c01a74","C-FKAL","Basler","BT-67","DC3T","25285","L2T",NULL,"2017-05-03",NULL,NULL
"c01da0","C-FLFR","Douglas","DC-3","DC3","13155","L2P","BVA","1995-02-09",NULL,NULL
"c020b6","C-FMKB","Basler","BT-67","DC3T","19560","L2T","KBA","2005-08-26",NULL,NULL
"c032d1","C-FTGI","Basler","BT-67","DC3T","26268","L2T",NULL,"2008-03-26",NULL,NULL
"c032e0","C-FTGX","Basler","BT-67","DC3T","25769","L2T",NULL,"2010-11-17",NULL,NULL
"c038d9","C-FVNS","Basler","BT-67","DC3T","43084","L2T",NULL,"2017-06-19",NULL,NULL
"c03c29","C-FWUI","Douglas","DC-3C","DC3","33046","L2P",NULL,"2017-06-14","2018-06-07",NULL
"c046ed","C-GAWI","Basler","BT-67","DC3T","19227","L2T","KBA","2010-04-09",NULL,NULL
"c04c9f","C-GDAK","Douglas","DC-3","DC3","2141","L2P",NULL,"1983-05-03",NULL,NULL
"c04f41","C-GEAI","Basler","BT-67","DC3T","33053","L2T","KBA","2009-09-28",NULL,NULL
"c04f42","C-GEAJ","Basler","BT-67","DC3T","26120","L2T",NULL,"2017-03-30",NULL,NULL
"c05669","C-GGSU","Basler","BT-67","DC3T","13439","L2T",NULL,"2014-11-13","2018-09-08",NULL
"c057c6","C-GHGF","Basler","BT-67","DC3T","25964","L2T","KBA","2011-08-08",NULL,NULL
"c05d72","C-GJKB","Douglas","DC-3C","DC3","13383","L2P","KBA","2008-10-14",NULL,NULL
"c05d7d","C-GJKM","Douglas","DC-3C","DC3","13580","L2P","BVA","2006-07-28",NULL,NULL
"c06016","C-GKKB","Basler","BT-67","DC3T","20494","L2T","KBA","2018-09-25",NULL,NULL
"c06da8","C-GPNR","Douglas","DC-3","DC3","13333","L2P","BVA","1994-12-08",NULL,NULL
"c07d22","C-GVKB","Basler","BT-67","DC3T","12300","L2T","KBA","2009-10-22",NULL,NULL
"c07ff2","C-GWLT","Douglas","A-26B Invader","B26","44-34778","L2P",NULL,"2008-03-27",NULL,NULL
"c0815d","C-GWZS","Douglas","DC-3C","DC3","12327","L2P","BVA","1995-01-16",NULL,NULL
"c8008a","ZK-AWP","Douglas","DC-3","DC3","33135","L2P","CVA",NULL,NULL,NULL
"c80bcf","ZK-DAK","Douglas","DC-3C","DC3","26480","L2P",NULL,NULL,NULL,NULL
"c8225e","ZK-JGB","Douglas","DC-3C","DC3","4363","L2P",NULL,NULL,NULL,NULL
"e02148","LV-BEH","Douglas","DC-3","DC3","26794","L2P",NULL,NULL,NULL,NULL
