"icao_24bit_address","registration","manufacturer","model","aircraft_type","serial_number","description","airline","registered_at","registered_until","manufactured_at"
"14fa31","RA-64049","Tupolev","Tu-204-100V","T204","1450744864049","L2J","RWZ","2005-12-25",NULL,"2005-01-01"
"14fa32","RA-64050","Tupolev","Tu-204-100V","T204","1450741964050","L2J","RWZ","2009-03-31",NULL,"2009-01-01"
"14fa33","RA-64051","Tupolev","Tu-204-100S","T204","1450742964051","L2J",NULL,NULL,NULL,NULL
"14fa34","RA-64052","Tupolev","Tu-204-100S","T204","1450742964052","L2J",NULL,NULL,NULL,NULL
"14fa35","RA-64053","Tupolev","Tu-204-300","T204","145074**64053","L2J","RSD",NULL,NULL,NULL
"14fa39","RA-64057","Tupolev","Tu-204-300A","T204","1450744164057","L2J","RSD",NULL,NULL,NULL
"14fa3a","RA-64058","Tupolev","Tu-204-300A","T204","1450744164058","L2J","RSD","2012-01-20",NULL,"2011-01-01"
"14fa3b","RA-64059","Tupolev","Tu-204-300A","T204","1450744564059","L2J","RSD",NULL,NULL,NULL
"14fa96","RA-64150","Tupolev","Tu-204SM","T204","145074**64150","L2J",NULL,NULL,NULL,NULL
"14fbc6","RA-64454","Tupolev","Tu-134IK","T134","64454","L2J",NULL,NULL,NULL,NULL
"14fe3f","RA-65087","Tupolev","Tu-134A-3","T134","60155","L2J",NULL,NULL,NULL,NULL
"14fe64","RA-65124","Tupolev","Tu-134A-3","T134","60560","L2J",NULL,NULL,NULL,NULL
"14fe7e","RF-65150","Tupolev","Tu-134A-3","T134","60650","L2J",NULL,NULL,NULL,NULL
"14fe7f","RF-65151","Tupolev","Tu-134A-3","T134","63620","L2J",NULL,NULL,NULL,NULL
"14fe80","RF-65152","Tupolev","Tu-134A-3","T134","62732","L2J",NULL,NULL,NULL,NULL
"150010","RA-65552","Tupolev","Tu-134A-3","T134","66270","L2J","LLM",NULL,NULL,NULL
"150011","RF-65553","Tupolev","Tu-134A-3","T134","66300","L2J",NULL,NULL,NULL,NULL
"150012","RA-65554","Tupolev","Tu-134A-3","T134","66320","L2J",NULL,NULL,NULL,NULL
"150015","RA-65557","Tupolev","Tu-134A-3","T134","66380","L2J",NULL,NULL,NULL,NULL
"15001e","RA-65566","Tupolev","Tu-134AK-1","T134","63952","L2J",NULL,NULL,NULL,NULL
"150022","65570","Tupolev","Tu-134A-3","T134","66550","L2J",NULL,NULL,NULL,NULL
"150025","RA-65573","Tupolev","Tu-134A","T134","63761","L2J",NULL,NULL,NULL,NULL
"150026","RA-65574","Tupolev","Tu-134B-3","T134","03564753","L2J","CIG",NULL,NULL,NULL
"150028","RA-65576","Tupolev","Tu-134B-3","T134","63285","L2J",NULL,NULL,NULL,NULL
"150029","RA-65577","Tupolev","Tu-134A-3","T134","60475","L2J","IZA",NULL,NULL,NULL
"150057","RA-65623","Tupolev","Tu-134A-3","T134","49985","L2J",NULL,NULL,NULL,NULL
"15008f","RA-65679","Tupolev","Tu-134A","T134","23249","L2J",NULL,NULL,NULL,NULL
"150090","RA-65680","Tupolev","Tu-134A-3","T134","49020","L2J",NULL,NULL,NULL,NULL
"150091","RA-65681","Tupolev","Tu-134A-3","T134","49760","L2J",NULL,NULL,NULL,NULL
"150094","RF-66052","Tupolev","Tu-134AK","T134","62205","L2J",NULL,NULL,NULL,NULL
"150095","RF-90915","Tupolev","Tu-134A-3","T134","62375","L2J",NULL,NULL,NULL,NULL
"150098","RF-94247","Tupolev","Tu-134AK","T134","62575","L2J",NULL,NULL,NULL,NULL
"150099","RA-65689","Tupolev","Tu-134A","T134","62655","L2J",NULL,NULL,NULL,NULL
"15009a","RA-65690","Tupolev","Tu-134A","T134","62805","L2J",NULL,NULL,NULL,NULL
"15009d","RA-65693","Tupolev","Tu-134B-3","T134","63221","L2J","DRU",NULL,NULL,NULL
"1500a4","RA-65700","Tupolev","Tu-134B-3M","T134","03564783","L2J","CIG",NULL,NULL,NULL
"1500b7","RA-65719","Tupolev","Tu-134A","T134","63637","L2J","KSM",NULL,NULL,NULL
"1500b9","65721","Tupolev","Tu-134A-3M","T134","66130","L2J",NULL,NULL,NULL,NULL
"1500bc","RA-65724","Tupolev","Tu-134A-3M","T134","66445","L2J","POV",NULL,NULL,NULL
"1500be","RA-65726","Tupolev","Tu-134A","T134","63720","L2J","KSM",NULL,NULL,NULL
